"","GeneID","Type","Component","Substrate"
"2",2727718393,"ABC","ABC","sugar (ribose)"
"8",2727717667,"ABC","binding","D-methionine"
"9",2727717669,"ABC","binding","methionine"
"13",2727717907,"ABC","binding","iron-hydroxamate"
"14",2727717911,"ABC","binding","phosphonate"
"18",2727718234,"ABC","binding","nitrate"
"19",2727718235,"ABC","binding","glycine betaine"
"22",2727718391,"ABC","binding","xylose"
"24",2727718436,"ABC","binding","phosphonate"
"25",2727718528,"ABC","binding","polyamine"
"29",2727718954,"ABC","binding","heme"
"30",2727719023,"ABC","binding","polyamine"
"31",2727719093,"ABC","binding","mobybdenate"
"32",2727719101,"ABC","binding","lipoprotein"
"33",2727719282,"ABC","binding","iron-hydroxamate"
"34",2727719284,"ABC","binding","sulfate"
"36",2727719426,"ABC","binding","phosphate"
"37",2727719473,"ABC","binding","lipid A"
"47",2727720128,"ABC","binding","phosphate"
"48",2727720248,"ABC","binding","glycine betaine"
"49",2727720250,"ABC","binding","glycine betaine"
"50",2727720315,"ABC","binding","lipoprotein"
"54",2727720562,"ABC","binding","polyamine"
"55",2727720775,"ABC","binding","phosphate"
"56",2727720955,"ABC","binding","dipeptide/glycine betaine"
"57",2727720956,"ABC","binding","dipeptide/D-methionine"
"59",2727721152,"ABC","binding","polyamine"
"60",2727721272,"ABC","binding","phosphonate"
"61",2727721274,"ABC","binding","iron-hydroxamate"
"63",2727721282,"ABC","binding","2-aminoethylphosphonate"
"66",2727721307,"ABC","binding","zinc"
"67",2727721308,"ABC","binding","daunorubicin"
"74",2727721593,"ABC","binding","sulfate"
"78",2727721649,"ABC","binding","2-aminoethylphosphonate"
"85",2727718268,"ABC","binding protein","sugar"
"87",2727718354,"ABC","binding protein","amino acid (glutamine/glutamate/aspartate)"
"88",2727718456,"ABC","binding protein","amino acid (glutamine/glutamate/aspartate)"
"90",2727718788,"ABC","binding protein","dipeptide/oligopeptide"
"92",2727719026,"ABC","binding protein","sugar"
"93",2727719429,"ABC","binding protein","amino acid (glutamine/glutamate/aspartate)"
"94",2727719586,"ABC","binding protein","amino acid (glutamine/glutamate/aspartate)"
"95",2727719824,"ABC","binding protein","toluene tolerance"
"96",2727719862,"ABC","binding protein","amino acid (glutamine/glutamate/aspartate)"
"100",2727720131,"ABC","binding protein","amino acid (glutamine/glutamate/aspartate)"
"104",2727720618,"ABC","binding protein","amino acid (glutamine/glutamate/aspartate)"
"109",2727720979,"ABC","binding protein","amino acid (glutamine/glutamate/aspartate)"
"110",2727721097,"ABC","binding protein","amino acid (glutamine/glutamate/aspartate)"
"111",2727721730,"ABC","binding protein","spermidine/putrescine"
"113",2727717727,"DMT","DME","drug/metabolite"
"115",2727718423,"GPTS","EnzymeI","unknown substrate"
"118",2727720820,"GPTS","EnzymeI","unknown substrate"
"121",2727719976,"SSPTS","EnzymeIIA","fructose"
"124",2727720819,"SSPTS","EnzymeIIABC","glucose/maltose/N-acetylglucosamine"
"125",2727718425,"SSPTS","EnzymeIIBC","fructose"
"128",2727717905,"RND","HAE1","multidrug/solvent efflux (HAE1 subfamily)"
"135",2727719476,"GPTS","HPr","unknown substrate"
"136",2727717605,"MOP","MATE","multidrug efflux"
"138",2727721377,"MOP","MATE","multidrug efflux"
"144",2727717909,"ABC","membrane","cobalamin/Fe3+-siderophores"
"145",2727717910,"ABC","membrane","ferric enterobactin"
"155",2727718353,"ABC","membrane","amino aicd (glutamine/glutamate/aspartate)"
"157",2727718435,"ABC","membrane","manganese/zinc ion"
"161",2727719024,"ABC","membrane","sugar"
"162",2727719025,"ABC","membrane","sugar"
"164",2727719100,"ABC","membrane","unknown substrate"
"165",2727719283,"ABC","membrane","cobalamin/Fe3+-siderophores"
"167",2727719428,"ABC","membrane","amino acid (lysine/arginine/ornithine/histidine/octopine)"
"169",2727719823,"ABC","membrane","toluene tolerance"
"170",2727719831,"ABC","membrane","polysaccharide export"
"173",2727720129,"ABC","membrane","amino aicd (glutamine/glutamate/aspartate)"
"174",2727720130,"ABC","membrane","amino aicd (glutamine/glutamate/aspartate)"
"175",2727720185,"ABC","membrane","toxin secretion"
"183",2727720563,"ABC","membrane","spermidine/putrescine"
"184",2727720564,"ABC","membrane","spermidine/putrescine"
"185",2727720599,"ABC","membrane","multidrug"
"186",2727720619,"ABC","membrane","amino aicd (glutamine/glutamate/aspartate)"
