"","GeneID","Type","Component","Substrate"
"2",2508867148,"ABC","ABC","sugar"
"4",2508868366,"ABC","ABC","sugar (ribose)"
"5",2508868399,"ABC","ABC","sugar (ribose)"
"6",2508868560,"ABC","ABC","phosphonate"
"8",2508868641,"ABC","ABC","sugar (ribose)"
"12",2508869519,"ABC","ABC","sugar (ribose)"
"13",2508866069,"ABC","binding","daunorubicin"
"14",2508866098,"ABC","binding","choline"
"15",2508866188,"ABC","binding","glycine betaine"
"17",2508866252,"ABC","binding","sulfate/thiosulfate"
"18",2508866255,"ABC","binding","sulfate"
"19",2508866258,"ABC","binding","2-aminoethylphosphonate"
"20",2508866372,"ABC","binding","lipoprotein"
"21",2508866405,"ABC","binding","glycine betaine"
"22",2508866407,"ABC","binding","choline"
"25",2508866506,"ABC","binding","polyamine"
"27",2508866641,"ABC","binding","lipoprotein"
"30",2508866721,"ABC","binding","iron-hydroxamate"
"32",2508866755,"ABC","binding","phosphonates"
"33",2508866855,"ABC","binding","polyamine"
"34",2508867051,"ABC","binding","daunorubicin"
"35",2508867247,"ABC","binding","phosphate"
"36",2508867285,"ABC","binding","polyamine"
"37",2508867438,"ABC","binding","glycine betaine"
"38",2508867590,"ABC","binding","glycine betaine"
"39",2508867611,"ABC","binding","glycine betaine"
"40",2508867628,"ABC","binding","lipoprotein"
"41",2508867723,"ABC","binding","lipid A"
"42",2508867781,"ABC","binding","phosphonates"
"44",2508867819,"ABC","binding","phosphate"
"45",2508868099,"ABC","binding","lipoprotein"
"46",2508868128,"ABC","binding","zinc"
"47",2508868130,"ABC","binding","phosphonate"
"48",2508868131,"ABC","binding","zinc"
"49",2508868149,"ABC","binding","lipoprotein"
"50",2508868260,"ABC","binding","lipoprotein"
"51",2508868365,"ABC","binding","rhamnose"
"52",2508868400,"ABC","binding","xylose"
"57",2508868473,"ABC","binding","xylose"
"58",2508868486,"ABC","binding","methionine"
"59",2508868490,"ABC","binding","lipid A"
"65",2508868601,"ABC","binding","lipid A"
"66",2508868602,"ABC","binding","lipid A"
"68",2508868635,"ABC","binding","heme"
"69",2508868637,"ABC","binding","zinc"
"70",2508868640,"ABC","binding","ribose"
"71",2508868665,"ABC","binding","polyamine"
"72",2508868706,"ABC","binding","polyamine"
"73",2508868734,"ABC","binding","ribose"
"74",2508868770,"ABC","binding","heme"
"75",2508868781,"ABC","binding","phosphate"
"80",2508868838,"ABC","binding","lipoprotein"
"81",2508868884,"ABC","binding","lipoprotein"
"84",2508868984,"ABC","binding","mobybdenate"
"85",2508868986,"ABC","binding","molybdate"
"90",2508869033,"ABC","binding","carbohydrate"
"91",2508869051,"ABC","binding","glycine betaine"
"93",2508869075,"ABC","binding","glycine betaine"
"95",2508869088,"ABC","binding","lipid A"
"98",2508869169,"ABC","binding","zinc"
"100",2508869279,"ABC","binding","cobalamin"
"102",2508869289,"ABC","binding","phosphate"
"105",2508869551,"ABC","binding","cobalt"
"106",2508869656,"ABC","binding","sulfate/thiosulfate"
"107",2508869666,"ABC","binding","heme"
"108",2508869751,"ABC","binding","glycine betaine"
"111",2508869903,"ABC","binding","daunorubicin"
"112",2508869926,"ABC","binding","2-aminoethylphosphonate"
"113",2508869926,"ABC","binding","2-aminoethylphosphonate"
"114",2508869930,"ABC","binding","polyamine"
"118",2508870166,"ABC","binding","leucine/valine"
"119",2508870169,"ABC","binding","daunorubicin"
"120",2508870170,"ABC","binding","daunorubicin"
"122",2508870223,"ABC","binding","polyamine"
"123",2508870232,"ABC","binding","phosphate"
"125",2508870517,"ABC","binding","toluene tolerance"
"126",2508870520,"ABC","binding","glycine betaine"
"127",2508870525,"ABC","binding","daunorubicin"
"130",2508870641,"ABC","binding","dipeptide/glycine betaine"
"132",2508870645,"ABC","binding","dipeptide/glycine betaine"
"133",2508870651,"ABC","binding","glycine betaine"
"134",2508870653,"ABC","binding","glycine betaine"
"135",2508870675,"ABC","binding","phosphonate"
"136",2508870972,"ABC","binding","urea"
"138",2508870976,"ABC","binding","daunorubicin"
"139",2508871003,"ABC","binding","daunorubicin"
"140",2508871004,"ABC","binding","daunorubicin"
"141",2508871007,"ABC","binding","leucine/valine"
"142",2508871075,"ABC","binding","lipid A"
"143",2508871273,"ABC","binding","phosphate"
"146",2508871287,"ABC","binding","methionine"
"147",2508871289,"ABC","binding","nitrate"
"148",2508871309,"ABC","binding","methionine"
"150",2508871353,"ABC","binding","methionine"
"151",2508871355,"ABC","binding","D-methionine"
"152",2508871359,"ABC","binding","phosphonate"
"153",2508871361,"ABC","binding","zinc"
"154",2508871364,"ABC","binding","glycine betaine"
"155",2508871366,"ABC","binding","glycine betaine"
"156",2508871398,"ABC","binding","polyamine"
"157",2508871410,"ABC","binding","nitrate"
"158",2508871412,"ABC","binding","glycine betaine"
"159",2508871415,"ABC","binding","glycine betaine"
"161",2508871456,"ABC","binding","phosphate"
"162",2508871603,"ABC","binding","phosphate"
"163",2508871668,"ABC","binding","glycine betaine"
"165",2508871679,"ABC","binding","cobalamin"
"166",2508866021,"ABC","binding protein","dipeptide/oligopeptide"
"167",2508866185,"ABC","binding protein","dipeptide/oligopeptide"
"169",2508866295,"ABC","binding protein","nitrate/sulfonate/taurine"
"171",2508866504,"ABC","binding protein","unknown substrate"
"172",2508866507,"ABC","binding protein","spermidine/putrescine"
"174",2508866717,"ABC","binding protein","sugar"
"176",2508867121,"ABC","binding protein","amino acid (glutamine/glutamate/aspartate)"
"177",2508867244,"ABC","binding protein","amino acid (glutamine/glutamate/aspartate)"
"178",2508867282,"ABC","binding protein","sugar"
"179",2508867323,"ABC","binding protein","amino acid (glutamine/glutamate/aspartate)"
"180",2508867448,"ABC","binding protein","amino acid"
"181",2508867778,"ABC","binding protein","nitrate/sulfonate/taurine"
"182",2508867815,"ABC","binding protein","amino acid (glutamine/glutamate/aspartate)"
"183",2508868014,"ABC","binding protein","amino acid (glutamine/glutamate/aspartate)"
"184",2508868181,"ABC","binding protein","amino acid (glutamine/glutamate/aspartate)"
"185",2508868249,"ABC","binding protein","amino acid"
"186",2508868325,"ABC","binding protein","amino acid (glutamine/glutamate/aspartate)"
"189",2508868629,"ABC","binding protein","amino acid (glutamine/glutamate/aspartate)"
"190",2508868668,"ABC","binding protein","spermidine/putrescine"
"191",2508868710,"ABC","binding protein","sugar"
"192",2508868778,"ABC","binding protein","amino acid (glutamine/glutamate/aspartate)"
"193",2508868788,"ABC","binding protein","spermidine/putrescine"
"196",2508868920,"ABC","binding protein","amino acid (glutamine/glutamate/aspartate)"
"199",2508869048,"ABC","binding protein","oligopeptide"
"200",2508869099,"ABC","binding protein","amino acid (glutamine/glutamate/aspartate)"
"203",2508869292,"ABC","binding protein","phosphate"
"205",2508869747,"ABC","binding protein","oligopeptide"
"206",2508869748,"ABC","binding protein","oligopeptide"
"207",2508870195,"ABC","binding protein","amino acid (glutamine/glutamate/aspartate)"
"208",2508870229,"ABC","binding protein","amino acid (glutamine/glutamate/aspartate)"
"210",2508870518,"ABC","binding protein","toluene tolerance"
"211",2508870610,"ABC","binding protein","dipeptide/oligopeptide"
"212",2508870634,"ABC","binding protein","dipeptide/oligopeptide"
"213",2508870635,"ABC","binding protein","dipeptide/oligopeptide"
"214",2508870636,"ABC","binding protein","dipeptide/oligopeptide"
"215",2508870638,"ABC","binding protein","dipeptide/oligopeptide"
"216",2508871271,"ABC","binding protein","amino acid (glutamine/glutamate/aspartate)"
"217",2508871338,"ABC","binding protein","amino acid (glutamine/glutamate/aspartate)"
"218",2508871401,"ABC","binding protein","spermidine/putrescine"
"219",2508871402,"ABC","binding protein","spermidine/putrescine"
"220",2508871429,"ABC","binding protein","amino acid (glutamine/glutamate/aspartate)"
"221",2508871457,"ABC","binding protein","amino acid (glutamine/glutamate/aspartate)"
"224",2508866921,"GPTS","EnzymeI","unknown substrate"
"225",2508871379,"GPTS","EnzymeI","unknown substrate"
"226",2508870528,"SSPTS","EnzymeIIA","fructose"
"227",2508866923,"SSPTS","EnzymeIIBC","fructose"
"229",2508867297,"RND","HAE1","multidrug/solvent efflux (HAE1 subfamily)"
"230",2508868590,"RND","HAE1","multidrug/solvent efflux (HAE1 subfamily)"
"231",2508868757,"RND","HAE1","multidrug/solvent efflux (HAE1 subfamily)"
"232",2508868758,"RND","HAE1","multidrug/solvent efflux (HAE1 subfamily)"
"233",2508868759,"RND","HAE1","multidrug/solvent efflux (HAE1 subfamily)"
"234",2508869119,"RND","HAE1","multidrug/solvent efflux (HAE1 subfamily)"
"236",2508870374,"RND","HAE1","multidrug/solvent efflux (HAE1 subfamily)"
"237",2508871283,"RND","HAE1","multidrug/solvent efflux (HAE1 subfamily)"
"238",2508869818,"RND","HAE3","multidrug/solvent efflux (HAE3 subfamily)"
"240",2508870530,"GPTS","HPr","unknown substrate"
"241",2508866048,"MOP","MATE","multidrug efflux"
"243",2508868430,"MOP","MATE","multidrug efflux"
"244",2508869191,"MOP","MATE","multidrug efflux"
"245",2508870930,"MOP","MATE","multidrug efflux"
"250",2508866253,"ABC","membrane","sulfate"
"251",2508866254,"ABC","membrane","sulfate"
"252",2508866259,"ABC","membrane","iron(III)"
"253",2508866373,"ABC","membrane","cell division"
"254",2508866406,"ABC","membrane","glycine betaine/L-proline"
"261",2508866640,"ABC","membrane","lipoprotein releasing"
"264",2508866720,"ABC","membrane","cobalamin/Fe3+-siderophores"
"271",2508867052,"ABC","membrane","polysaccharide export"
"272",2508867120,"ABC","membrane","amino aicd (glutamine/glutamate/aspartate)"
"277",2508867245,"ABC","membrane","amino acid"
"278",2508867246,"ABC","membrane","amino aicd (glutamine/glutamate/aspartate)"
"279",2508867283,"ABC","membrane","sugar"
"280",2508867284,"ABC","membrane","sugar"
"283",2508867627,"ABC","membrane","lipoprotein releasing"
"285",2508867816,"ABC","membrane","amino acid (lysine/arginine/ornithine/histidine/octopine)"
"286",2508867817,"ABC","membrane","amino acid (lysine/arginine/ornithine/histidine/octopine)"
"287",2508868011,"ABC","membrane","multidrug"
"288",2508868098,"ABC","membrane","lipoprotein releasing"
"289",2508868100,"ABC","membrane","lipoprotein releasing"
"290",2508868129,"ABC","membrane","manganese/zinc ion"
