"","GeneID","Type","Component","Substrate"
"1",2727717533,"ABC","ABC","sugar"
"2",2727718393,"ABC","ABC","sugar (ribose)"
"7",2727717594,"ABC","binding","leucine/valine"
"8",2727717667,"ABC","binding","D-methionine"
"9",2727717669,"ABC","binding","methionine"
"10",2727717720,"ABC","binding","heme"
"11",2727717722,"ABC","binding","ribose"
"12",2727717884,"ABC","binding","glycine betaine"
"13",2727717907,"ABC","binding","iron-hydroxamate"
"14",2727717911,"ABC","binding","phosphonate"
"15",2727718030,"ABC","binding","daunorubicin"
"16",2727718063,"ABC","binding","lipid A"
"17",2727718166,"ABC","binding","daunorubicin"
"18",2727718234,"ABC","binding","nitrate"
"19",2727718235,"ABC","binding","glycine betaine"
"20",2727718331,"ABC","binding","lipoprotein"
"21",2727718352,"ABC","binding","phosphate"
"22",2727718391,"ABC","binding","xylose"
"23",2727718434,"ABC","binding","zinc"
"24",2727718436,"ABC","binding","phosphonate"
"25",2727718528,"ABC","binding","polyamine"
"26",2727718531,"ABC","binding","thiamin"
"27",2727718693,"ABC","binding","daunorubicin"
"28",2727718721,"ABC","binding","heme"
"29",2727718954,"ABC","binding","heme"
"30",2727719023,"ABC","binding","polyamine"
"31",2727719093,"ABC","binding","mobybdenate"
"32",2727719101,"ABC","binding","lipoprotein"
"33",2727719282,"ABC","binding","iron-hydroxamate"
"34",2727719284,"ABC","binding","sulfate"
"35",2727719346,"ABC","binding","cobalt"
"36",2727719426,"ABC","binding","phosphate"
"37",2727719473,"ABC","binding","lipid A"
"39",2727719635,"ABC","binding","lipid A"
"41",2727719822,"ABC","binding","sulfate"
"42",2727719825,"ABC","binding","toluene tolerance"
"43",2727719832,"ABC","binding","daunorubicin"
"44",2727719837,"ABC","binding","leucine/valine"
"47",2727720128,"ABC","binding","phosphate"
"48",2727720248,"ABC","binding","glycine betaine"
"49",2727720250,"ABC","binding","glycine betaine"
"50",2727720315,"ABC","binding","lipoprotein"
"51",2727720316,"ABC","binding","D-methionine"
"52",2727720359,"ABC","binding","nitrate"
"53",2727720444,"ABC","binding","lipoprotein"
"54",2727720562,"ABC","binding","polyamine"
"55",2727720775,"ABC","binding","phosphate"
"56",2727720955,"ABC","binding","dipeptide/glycine betaine"
"57",2727720956,"ABC","binding","dipeptide/D-methionine"
"58",2727721123,"ABC","binding","glycine betaine"
