"","GeneID","Type","Component","Substrate"
"1",637837517,"ABC","ABC","sugar (ribose)"
"5",637840852,"ABC","ABC","sugar (ribose)"
"6",637841465,"ABC","ABC","unknown substrate"
"10",637842143,"ABC","ABC","sugar (ribose)"
"11",637842154,"ABC","ABC","multidrug"
"13",637839993,"LIV-E","AzlC","branched-chain amino acid efflux (AzlC)"
"14",637840334,"LIV-E","AzlC","branched-chain amino acid efflux (AzlC)"
"16",637837368,"ABC","binding","lipoprotein"
"17",637837515,"ABC","binding","rhamnose"
"19",637837743,"ABC","binding","daunorubicin"
"20",637837750,"ABC","binding","lipoprotein"
"21",637837820,"ABC","binding","lipid A"
"22",637837896,"ABC","binding","molybdate"
"23",637837898,"ABC","binding","mobybdenate"
"24",637837947,"ABC","binding","polyamine"
"25",637838103,"ABC","binding","glycine betaine"
"26",637838104,"ABC","binding","nitrate"
"29",637838415,"ABC","binding","dipeptide/glycine betaine"
"30",637838462,"ABC","binding","glycine betaine"
"32",637838498,"ABC","binding","ribose"
"33",637838594,"ABC","binding","daunorubicin"
"34",637838595,"ABC","binding","daunorubicin"
"39",637838899,"ABC","binding","leucine/valine"
"43",637839093,"ABC","binding","lipoprotein"
"46",637839136,"ABC","binding","daunorubicin"
"47",637839137,"ABC","binding","daunorubicin"
"48",637839140,"ABC","binding","leucine/valine"
"49",637839150,"ABC","binding","choline"
"56",637839435,"ABC","binding","methionine"
"57",637839442,"ABC","binding","iron-hydroxamate"
"62",637839636,"ABC","binding","toluene tolerance"
"69",637839896,"ABC","binding","glycine betaine"
"70",637839897,"ABC","binding","dipeptide/glycine betaine"
"71",637839998,"ABC","binding","sulfate/thiosulfate"
"72",637840021,"ABC","binding","cobalt"
"73",637840047,"ABC","binding","sulfate"
"74",637840112,"ABC","binding","methionine"
"75",637840115,"ABC","binding","thiamine"
"76",637840160,"ABC","binding","daunorubicin"
"77",637840245,"ABC","binding","lipid A"
"78",637840294,"ABC","binding","nitrate"
"80",637840363,"ABC","binding","zinc"
"82",637840460,"ABC","binding","daunorubicin"
"83",637840461,"ABC","binding","phosphate"
"86",637840560,"ABC","binding","phosphate"
"87",637840570,"ABC","binding","glycine betaine"
"88",637840611,"ABC","binding","heme"
"89",637840657,"ABC","binding","lipid A"
"90",637840726,"ABC","binding","urea"
"91",637840851,"ABC","binding","ribose"
"92",637840900,"ABC","binding","phosphate"
"93",637841007,"ABC","binding","daunorubicin"
"96",637841146,"ABC","binding","daunorubicin"
"99",637841176,"ABC","binding","urea"
"101",637841227,"ABC","binding","polyamine"
"102",637841319,"ABC","binding","D-methionine"
"103",637841321,"ABC","binding","methionine"
"105",637841442,"ABC","binding","phosphate"
"106",637841557,"ABC","binding","lipoprotein"
"107",637841650,"ABC","binding","glycine betaine"
"108",637841679,"ABC","binding","cobalt"
"109",637841725,"ABC","binding","glycine betaine"
"110",637841800,"ABC","binding","lipoprotein"
"112",637841938,"ABC","binding","heme"
"113",637841946,"ABC","binding","polyamine"
"118",637842047,"ABC","binding","glycine betaine"
"120",637842090,"ABC","binding","iron-hydroxamate"
"121",637842093,"ABC","binding","phosphonate"
"123",637842109,"ABC","binding","lipid A"
"124",637842134,"ABC","binding","nitrate"
"125",637842144,"ABC","binding","rhamnose"
"126",637842146,"ABC","binding","sulfate"
"127",637842149,"ABC","binding","sulfate/thiosulfate"
"129",637842313,"ABC","binding","ribose"
"132",637842438,"ABC","binding","phosphate"
"135",637842524,"ABC","binding","2-aminoethylphosphonate"
"136",637842526,"ABC","binding","polyamine"
"137",637842592,"ABC","binding","heme"
"138",637842664,"ABC","binding","daunorubicin"
"139",637842666,"ABC","binding","toluene tolerance"
"140",637842670,"ABC","binding","glycine betaine"
"141",637842684,"ABC","binding","polyamine"
"142",637842824,"ABC","binding","leucine/valine"
"143",637842889,"ABC","binding","2-aminoethylphosphonate"
"144",637842966,"ABC","binding","leucine/valine"
"145",637842987,"ABC","binding","phosphate"
"146",637842988,"ABC","binding","sulfate"
"147",637842990,"ABC","binding","leucine/valine"
"148",637842995,"ABC","binding","urea"
"149",637842996,"ABC","binding","daunorubicin"
"150",637842997,"ABC","binding","daunorubicin"
"151",637837392,"ABC","binding protein","spermidine/putrescine"
"152",637837528,"ABC","binding protein","amino acid (glutamine/glutamate/aspartate)"
"153",637837744,"ABC","binding protein","unknown substrate"
"154",637837948,"ABC","binding protein","spermidine/putrescine"
"155",637838416,"ABC","binding protein","dipeptide/oligopeptide"
"157",637838729,"ABC","binding protein","dipeptide/oligopeptide"
"158",637838744,"ABC","binding protein","dipeptide/oligopeptide"
"159",637838771,"ABC","binding protein","nitrate/sulfonate/taurine"
"160",637838956,"ABC","binding protein","amino acid (glutamine/glutamate/aspartate)"
"161",637839026,"ABC","binding protein","iron(III)"
"163",637839432,"ABC","binding protein","amino acid (glutamine/glutamate/aspartate)"
"164",637839520,"ABC","binding protein","oligopeptide"
"166",637839708,"ABC","binding protein","nitrate/sulfonate/taurine"
"167",637839893,"ABC","binding protein","dipeptide/oligopeptide"
"168",637840022,"ABC","binding protein","dipeptide/oligopeptide"
"169",637840048,"ABC","binding protein","toluene tolerance"
"171",637840113,"ABC","binding protein","unknown substrate"
"172",637840368,"ABC","binding protein","sugar"
"173",637840563,"ABC","binding protein","amino acid (glutamine/glutamate/aspartate)"
"174",637840897,"ABC","binding protein","amino acid (glutamine/glutamate/aspartate)"
"176",637841220,"ABC","binding protein","amino acid (glutamine/glutamate/aspartate)"
"177",637841224,"ABC","binding protein","sugar"
"178",637841452,"ABC","binding protein","amino acid (glutamine/glutamate/aspartate)"
"179",637841647,"ABC","binding protein","oligopeptide"
"180",637841945,"ABC","binding protein","spermidine/putrescine"
"181",637842119,"ABC","binding protein","amino acid (glutamine/glutamate/aspartate)"
"182",637842181,"ABC","binding protein","amino acid (glutamine/glutamate/aspartate)"
"183",637842441,"ABC","binding protein","phosphate"
"184",637842616,"ABC","binding protein","unknown substrate"
"185",637842668,"ABC","binding protein","toluene tolerance"
"186",637842687,"ABC","binding protein","sugar"
"188",637842971,"ABC","binding protein","amino acid (glutamine/glutamate/aspartate)"
"189",637839319,"DMT","DME","drug/metabolite"
"190",637838209,"GPTS","EnzymeI","unknown substrate"
"191",637840086,"GPTS","EnzymeI","unknown substrate"
"192",637840122,"GPTS","EnzymeI","unknown substrate"
"193",637840084,"SSPTS","EnzymeIIA","mannose/fructose"
"194",637840157,"SSPTS","EnzymeIIA","fructose"
"195",637840123,"SSPTS","EnzymeIIABC","glucose/maltose/N-acetylglucosamine"
"196",637838211,"SSPTS","EnzymeIIBC","fructose"
"197",637837364,"RND","HAE1","multidrug/solvent efflux (HAE1 subfamily)"
"198",637838589,"RND","HAE1","multidrug/solvent efflux (HAE1 subfamily)"
"199",637839406,"RND","HAE1","multidrug/solvent efflux (HAE1 subfamily)"
"201",637840354,"RND","HAE1","multidrug/solvent efflux (HAE1 subfamily)"
"202",637841619,"RND","HAE1","multidrug/solvent efflux (HAE1 subfamily)"
"203",637841957,"RND","HAE1","multidrug/solvent efflux (HAE1 subfamily)"
"204",637842113,"RND","HAE1","multidrug/solvent efflux (HAE1 subfamily)"
"205",637842535,"RND","HAE1","multidrug/solvent efflux (HAE1 subfamily)"
"206",637842536,"RND","HAE1","multidrug/solvent efflux (HAE1 subfamily)"
"207",637839650,"RND","HAE3","multidrug/solvent efflux (HAE3 subfamily)"
"208",637838487,"RND","HME","cobalt/zinc/cadmium ion efflux (HME subfamily)"
"209",637838677,"RND","HME","cobalt/zinc/cadmium ion efflux (HME subfamily)"
"210",637840085,"GPTS","HPr","unknown substrate"
"211",637841355,"MOP","MATE","multidrug efflux"
"213",637842423,"MOP","MATE","multidrug efflux"
"214",637837369,"ABC","membrane","lipoprotein releasing"
"215",637837390,"ABC","membrane","spermidine/putrescine"
"216",637837391,"ABC","membrane","spermidine/putrescine"
"217",637837516,"ABC","membrane","ribose"
"218",637837742,"ABC","membrane","multidrug"
"219",637837749,"ABC","membrane","lipoprotein releasing"
"221",637837949,"ABC","membrane","spermidine/putrescine"
"227",637838441,"ABC","membrane","toxin secretion"
"230",637838596,"ABC","membrane","multidrug"
"231",637838597,"ABC","membrane","multidrug"
"234",637838745,"ABC","membrane","dipeptide/oligopeptide"
"238",637839027,"ABC","membrane","iron(III)"
"239",637839138,"ABC","membrane","branched-chain amino acid"
"240",637839139,"ABC","membrane","branched-chain amino acid"
"253",637839894,"ABC","membrane","dipeptide/oligopeptide"
"254",637839895,"ABC","membrane","dipeptide/oligopeptide"
"255",637840046,"ABC","membrane","toluene tolerance"
"256",637840114,"ABC","membrane","unknown substrate"
"257",637840295,"ABC","membrane","nitrate/sulfonate/taurine"
"261",637840458,"ABC","membrane","branched-chain amino acid"
"262",637840459,"ABC","membrane","branched-chain amino acid"
"264",637840561,"ABC","membrane","amino acid (lysine/arginine/ornithine/histidine/octopine)"
"265",637840562,"ABC","membrane","amino acid (lysine/arginine/ornithine/histidine/octopine)"
"266",637840569,"ABC","membrane","nitrate/sulfonate/taurine"
"267",637840701,"ABC","membrane","unknown substrate"
"268",637840853,"ABC","membrane","sugar (ribose)"
"269",637840898,"ABC","membrane","amino aicd (glutamine/glutamate/aspartate)"
"270",637840899,"ABC","membrane","amino aicd (glutamine/glutamate/aspartate)"
"271",637841008,"ABC","membrane","polysaccharide export"
"273",637841145,"ABC","membrane","polysaccharide export"
"276",637841225,"ABC","membrane","sugar"
"277",637841226,"ABC","membrane","sugar"
"278",637841320,"ABC","membrane","D-methionine"
"279",637841425,"ABC","membrane","multidrug"
"280",637841440,"ABC","membrane","amino acid (lysine/arginine/ornithine/histidine/octopine)"
"281",637841441,"ABC","membrane","amino acid (lysine/arginine/ornithine/histidine/octopine)"
"282",637841464,"ABC","membrane","unknown substrate"
"283",637841466,"ABC","membrane","unknown substrate"
"284",637841556,"ABC","membrane","lipoprotein releasing"
"285",637841648,"ABC","membrane","dipeptide/oligopeptide"
"286",637841649,"ABC","membrane","dipeptide/oligopeptide"
"287",637841935,"ABC","membrane","unknown substrate"
"288",637841947,"ABC","membrane","spermidine/putrescine"
"289",637841948,"ABC","membrane","spermidine/putrescine"
"297",637842088,"ABC","membrane","pyoverdin (siderophore) exporter PvdE"
"298",637842092,"ABC","membrane","cobalamin/Fe3+-siderophores"
"303",637842142,"ABC","membrane","sugar (ribose)"
"304",637842147,"ABC","membrane","sulfate"
"305",637842148,"ABC","membrane","sulfate"
"306",637842155,"ABC","membrane","multidrug"
"307",637842169,"ABC","membrane","nitrate/sulfonate/taurine"
"308",637842182,"ABC","membrane","amino aicd (glutamine/glutamate/aspartate)"
"311",637842439,"ABC","membrane","phosphate"
"312",637842440,"ABC","membrane","phosphate"
"315",637842525,"ABC","membrane","iron(III)"
"316",637842617,"ABC","membrane","toxin secretion"
"317",637842663,"ABC","membrane","polysaccharide export"
"318",637842669,"ABC","membrane","toluene tolerance"
"319",637842675,"ABC","membrane","multidrug"
"320",637842685,"ABC","membrane","sugar"
"321",637842686,"ABC","membrane","sugar"
"322",637842700,"ABC","membrane","heme export"
"323",637842989,"ABC","membrane","branched-chain amino acid"
"324",637842993,"ABC","membrane","branched-chain amino acid"
"325",637842994,"ABC","membrane","branched-chain amino acid"
"327",637840409,"MOP","MVF","virulence factor MviN"
"328",637837999,"MOP","PST","polysaccharide export"
"330",637841160,"MOP","PST","polysaccharide export"
"331",637839983,"DMT","RarD","chloramphenicol (RarD homolog)"
"332",637840948,"RND","SecDF","protein export (SecDF)"
"333",637840699,"DMT","SMR","multidrug efflux (SMR)"
"334",637842174,"DMT","SMR","multidrug efflux (SMR)"
"335",637838261,"ACR3","Unknown","arsenite"
"337",637842678,"AGCS","Unknown","sodium ion:alanine symporter"
"338",637837834,"AI-2E","Unknown","Autoinducer-2 export"
"339",637838997,"AI-2E","Unknown","Autoinducer-2 export"
"340",637840170,"AI-2E","Unknown","Autoinducer-2 export"
"341",637840081,"Amt","Unknown","ammonium"
"342",637837769,"APC","Unknown","amino acid"
"346",637838861,"APC","Unknown","GABA"
"347",637838895,"APC","Unknown","GABA"
"349",637839159,"APC","Unknown","amino acid"
"352",637839881,"APC","Unknown","amino acid"
"353",637840437,"APC","Unknown","GABA"
"354",637842052,"APC","Unknown","arginine:ornithine antiporter"
"356",637842589,"APC","Unknown","GABA"
"357",637842603,"APC","Unknown","amino acid"
"358",637842795,"APC","Unknown","GABA"
"359",637842949,"APC","Unknown","ethanolamine"
"365",637842295,"ArAE","Unknown","fusaric acid efflux"
"366",637842521,"ArAE","Unknown","fusaric acid efflux"
"367",637841368,"ArsB","Unknown","arsenite (ArsB)"
"368",637842982,"ArsB","Unknown","arsenite (ArsB)"
"369",637839975,"BASS","Unknown","sodium ion/"
"370",637838412,"BCCT","Unknown","glycine betaine/carnitine/choline"
"373",637838695,"CaCA","Unknown","proton:calcium ion antiporter"
"374",637837375,"CDF","Unknown","cation efflux"
"375",637837695,"CDF","Unknown","cation efflux"
"376",637842820,"CDF","Unknown","cation efflux"
"377",637837379,"CHR","Unknown","chromate ion"
"381",637840619,"CHR","Unknown","chromate ion"
"382",637837813,"ClC","Unknown","chloride ion channel"
"384",637841243,"ClC","Unknown","chloride ion channel"
"385",637841960,"ClC","Unknown","chloride ion channel"
"386",637837714,"CNT","Unknown","sodium ion:nucleoside symporter"
"387",637837801,"CPA1","Unknown","sodium ion:proton antiporter"
"388",637840002,"CPA1","Unknown","sodium ion:proton antiporter"
"389",637838496,"CPA2","Unknown","potassium/sodium ion:proton antiporter"
"390",637838531,"CPA2","Unknown","potassium/sodium ion:proton antiporter"
"391",637839675,"CPA2","Unknown","potassium/sodium ion:proton antiporter"
"392",637840165,"CPA2","Unknown","potassium/sodium ion:proton antiporter"
"393",637842001,"CPA2","Unknown","potassium/sodium ion:proton antiporter"
