GeneID,Type,Component,Substrate
2727717533,ABC,ABC,sugar
2727718393,ABC,ABC,sugar (ribose)
2727721634,ABC,ABC,phosphonate
2727721635,ABC,ABC,phosphonate
2727721818,ABC,ABCG,White pigment protein homolog (ABCG)
2727720274,LIV-E,AzlC,branched-chain amino acid efflux (AzlC)
2727717594,ABC,binding,leucine/valine
2727717667,ABC,binding,D-methionine
2727717669,ABC,binding,methionine
2727717720,ABC,binding,heme
2727717722,ABC,binding,ribose
2727717884,ABC,binding,glycine betaine
2727717907,ABC,binding,iron-hydroxamate
2727717911,ABC,binding,phosphonate
2727718030,ABC,binding,daunorubicin
2727718063,ABC,binding,lipid A
2727718166,ABC,binding,daunorubicin
2727718234,ABC,binding,nitrate
2727718235,ABC,binding,glycine betaine
2727718331,ABC,binding,lipoprotein
2727718352,ABC,binding,phosphate
2727718391,ABC,binding,xylose
2727718434,ABC,binding,zinc
2727718436,ABC,binding,phosphonate
2727718528,ABC,binding,polyamine
2727718531,ABC,binding,thiamin
2727718693,ABC,binding,daunorubicin
2727718721,ABC,binding,heme
2727718954,ABC,binding,heme
2727719023,ABC,binding,polyamine
2727719093,ABC,binding,mobybdenate
2727719101,ABC,binding,lipoprotein
2727719282,ABC,binding,iron-hydroxamate
2727719284,ABC,binding,sulfate
2727719346,ABC,binding,cobalt
2727719426,ABC,binding,phosphate
2727719473,ABC,binding,lipid A
2727719633,ABC,binding,glycine betaine
2727719635,ABC,binding,lipid A
2727719767,ABC,binding,iron-hydroxamate
2727719822,ABC,binding,sulfate
2727719825,ABC,binding,toluene tolerance
2727719832,ABC,binding,daunorubicin
2727719837,ABC,binding,leucine/valine
2727719868,ABC,binding,ribose
2727719962,ABC,binding,polyamine
2727720128,ABC,binding,phosphate
2727720248,ABC,binding,glycine betaine
2727720250,ABC,binding,glycine betaine
2727720315,ABC,binding,lipoprotein
2727720316,ABC,binding,D-methionine
2727720359,ABC,binding,nitrate
2727720444,ABC,binding,lipoprotein
2727720562,ABC,binding,polyamine
2727720775,ABC,binding,phosphate
2727720955,ABC,binding,dipeptide/glycine betaine
2727720956,ABC,binding,dipeptide/D-methionine
2727721123,ABC,binding,glycine betaine
2727721152,ABC,binding,polyamine
2727721272,ABC,binding,phosphonate
2727721274,ABC,binding,iron-hydroxamate
2727721280,ABC,binding,polyamine
2727721282,ABC,binding,2-aminoethylphosphonate
2727721293,ABC,binding,daunorubicin
2727721294,ABC,binding,daunorubicin
2727721307,ABC,binding,zinc
2727721308,ABC,binding,daunorubicin
2727721329,ABC,binding,leucine/valine
2727721339,ABC,binding,cobalamin
2727721340,ABC,binding,phosphonate
2727721424,ABC,binding,glycine betaine
2727721480,ABC,binding,polyamine
2727721527,ABC,binding,lipoprotein
2727721593,ABC,binding,sulfate
2727721624,ABC,binding,sulfate
2727721627,ABC,binding,sulfate/thiosulfate
2727721648,ABC,binding,phosphonate
2727721649,ABC,binding,2-aminoethylphosphonate
2727721650,ABC,binding,polyamine
2727721660,ABC,binding,leucine/valine
2727721751,ABC,binding,glycine betaine
2727717713,ABC,binding protein,amino acid (glutamine/glutamate/aspartate)
2727717887,ABC,binding protein,dipeptide/oligopeptide
2727718031,ABC,binding protein,unknown substrate
2727718268,ABC,binding protein,sugar
2727718337,ABC,binding protein,amino acid (glutamine/glutamate/aspartate)
2727718354,ABC,binding protein,amino acid (glutamine/glutamate/aspartate)
2727718456,ABC,binding protein,amino acid (glutamine/glutamate/aspartate)
2727718535,ABC,binding protein,amino acid (glutamine/glutamate/aspartate)
2727718788,ABC,binding protein,dipeptide/oligopeptide
2727719021,ABC,binding protein,amino acid (glutamine/glutamate/aspartate)
2727719026,ABC,binding protein,sugar
2727719429,ABC,binding protein,amino acid (glutamine/glutamate/aspartate)
2727719586,ABC,binding protein,amino acid (glutamine/glutamate/aspartate)
2727719824,ABC,binding protein,toluene tolerance
2727719862,ABC,binding protein,amino acid (glutamine/glutamate/aspartate)
2727719871,ABC,binding protein,amino acid (glutamine/glutamate/aspartate)
2727719958,ABC,binding protein,sugar
2727719971,ABC,binding protein,amino acid (glutamine/glutamate/aspartate)
2727720131,ABC,binding protein,amino acid (glutamine/glutamate/aspartate)
2727720312,ABC,binding protein,oligopeptide
2727720434,ABC,binding protein,spermidine/putrescine
2727720565,ABC,binding protein,spermidine/putrescine
2727720618,ABC,binding protein,amino acid (glutamine/glutamate/aspartate)
2727720708,ABC,binding protein,dipeptide/oligopeptide
2727720766,ABC,binding protein,spermidine/putrescine
2727720778,ABC,binding protein,phosphate
2727720952,ABC,binding protein,dipeptide/oligopeptide
2727720979,ABC,binding protein,amino acid (glutamine/glutamate/aspartate)
2727721097,ABC,binding protein,amino acid (glutamine/glutamate/aspartate)
2727721730,ABC,binding protein,spermidine/putrescine
2727721748,ABC,binding protein,dipeptide/oligopeptide
2727717727,DMT,DME,drug/metabolite
2727721540,DMT,DME,drug/metabolite
2727718423,GPTS,EnzymeI,unknown substrate
2727719475,GPTS,EnzymeI,unknown substrate
2727719703,GPTS,EnzymeI,unknown substrate
2727720820,GPTS,EnzymeI,unknown substrate
2727718696,SSPTS,EnzymeIIA,fructose
2727719477,SSPTS,EnzymeIIA,mannose/fructose
2727719976,SSPTS,EnzymeIIA,fructose
2727718665,SSPTS,EnzymeIIABC,glucose/maltose/N-acetylglucosamine
2727719702,SSPTS,EnzymeIIABC,glucose/maltose/N-acetylglucosamine
2727720819,SSPTS,EnzymeIIABC,glucose/maltose/N-acetylglucosamine
2727718425,SSPTS,EnzymeIIBC,fructose
2727717477,RND,HAE1,multidrug/solvent efflux (HAE1 subfamily)
2727717478,RND,HAE1,multidrug/solvent efflux (HAE1 subfamily)
2727717905,RND,HAE1,multidrug/solvent efflux (HAE1 subfamily)
2727719229,RND,HAE1,multidrug/solvent efflux (HAE1 subfamily)
2727719310,RND,HAE1,multidrug/solvent efflux (HAE1 subfamily)
2727719835,RND,HAE1,multidrug/solvent efflux (HAE1 subfamily)
2727720216,RND,HAE1,multidrug/solvent efflux (HAE1 subfamily)
2727721421,RND,HAE1,multidrug/solvent efflux (HAE1 subfamily)
2727721746,RND,HAE1,multidrug/solvent efflux (HAE1 subfamily)
2727719476,GPTS,HPr,unknown substrate
2727717605,MOP,MATE,multidrug efflux
2727718026,MOP,MATE,multidrug efflux
2727721377,MOP,MATE,multidrug efflux
2727717534,ABC,membrane,sugar
2727717535,ABC,membrane,sugar
2727717668,ABC,membrane,D-methionine
2727717885,ABC,membrane,dipeptide/oligopeptide
2727717886,ABC,membrane,dipeptide/oligopeptide
2727717909,ABC,membrane,cobalamin/Fe3+-siderophores
2727717910,ABC,membrane,ferric enterobactin
2727718028,ABC,membrane,multidrug
2727718029,ABC,membrane,multidrug
2727718047,ABC,membrane,pyoverdin (siderophore) exporter PvdE
2727718118,ABC,membrane,pyoverdin (siderophore) exporter PvdE
2727718217,ABC,membrane,toxin secretion
2727718233,ABC,membrane,nitrate/sulfonate/taurine
2727718269,ABC,membrane,sugar
2727718270,ABC,membrane,sugar
2727718332,ABC,membrane,lipoprotein releasing
2727718353,ABC,membrane,amino aicd (glutamine/glutamate/aspartate)
2727718392,ABC,membrane,sugar (ribose)
2727718435,ABC,membrane,manganese/zinc ion
2727718457,ABC,membrane,amino acid (lysine/arginine/ornithine/histidine/octopine)
2727718458,ABC,membrane,amino acid (lysine/arginine/ornithine/histidine/octopine)
2727718529,ABC,membrane,iron(III)
2727719024,ABC,membrane,sugar
2727719025,ABC,membrane,sugar
2727719094,ABC,membrane,molybdate
2727719100,ABC,membrane,unknown substrate
2727719283,ABC,membrane,cobalamin/Fe3+-siderophores
2727719427,ABC,membrane,amino acid (lysine/arginine/ornithine/histidine/octopine)
2727719428,ABC,membrane,amino acid (lysine/arginine/ornithine/histidine/octopine)
2727719634,ABC,membrane,multidrug
