GeneID,Type,Component,Substrate
2508866727,ABC,ABC,sugar
2508867148,ABC,ABC,sugar
2508867343,ABC,ABC,sugar
2508868366,ABC,ABC,sugar (ribose)
2508868399,ABC,ABC,sugar (ribose)
2508868560,ABC,ABC,phosphonate
2508868561,ABC,ABC,phosphonate
2508868641,ABC,ABC,sugar (ribose)
2508869010,ABC,ABC,sugar (ribose)
2508869020,ABC,ABC,sugar (ribose)
2508869274,ABC,ABC,dipeptide/oligopeptide
2508869519,ABC,ABC,sugar (ribose)
2508866069,ABC,binding,daunorubicin
2508866098,ABC,binding,choline
2508866188,ABC,binding,glycine betaine
2508866201,ABC,binding,glycine betaine
2508866252,ABC,binding,sulfate/thiosulfate
2508866255,ABC,binding,sulfate
2508866258,ABC,binding,2-aminoethylphosphonate
2508866372,ABC,binding,lipoprotein
2508866405,ABC,binding,glycine betaine
2508866407,ABC,binding,choline
2508866427,ABC,binding,2-aminoethylphosphonate
2508866430,ABC,binding,polyamine
2508866506,ABC,binding,polyamine
2508866617,ABC,binding,polyamine
2508866641,ABC,binding,lipoprotein
2508866664,ABC,binding,daunorubicin
2508866718,ABC,binding,sulfate
2508866721,ABC,binding,iron-hydroxamate
2508866754,ABC,binding,phosphonate
2508866755,ABC,binding,phosphonates
2508866855,ABC,binding,polyamine
2508867051,ABC,binding,daunorubicin
2508867247,ABC,binding,phosphate
2508867285,ABC,binding,polyamine
2508867438,ABC,binding,glycine betaine
2508867590,ABC,binding,glycine betaine
2508867611,ABC,binding,glycine betaine
2508867628,ABC,binding,lipoprotein
2508867723,ABC,binding,lipid A
2508867781,ABC,binding,phosphonates
2508867787,ABC,binding,sulfate
2508867819,ABC,binding,phosphate
2508868099,ABC,binding,lipoprotein
2508868128,ABC,binding,zinc
2508868130,ABC,binding,phosphonate
2508868131,ABC,binding,zinc
2508868149,ABC,binding,lipoprotein
2508868260,ABC,binding,lipoprotein
2508868365,ABC,binding,rhamnose
2508868400,ABC,binding,xylose
2508868416,ABC,binding,phosphonate
2508868417,ABC,binding,daunorubicin
2508868420,ABC,binding,urea
2508868421,ABC,binding,urea
2508868473,ABC,binding,xylose
2508868486,ABC,binding,methionine
2508868490,ABC,binding,lipid A
2508868522,ABC,binding,polyamine
2508868552,ABC,binding,phosphonate
2508868553,ABC,binding,phosphonate
2508868569,ABC,binding,D-methionine
2508868570,ABC,binding,glycine betaine
2508868601,ABC,binding,lipid A
2508868602,ABC,binding,lipid A
2508868632,ABC,binding,phosphate
2508868635,ABC,binding,heme
2508868637,ABC,binding,zinc
2508868640,ABC,binding,ribose
2508868665,ABC,binding,polyamine
2508868706,ABC,binding,polyamine
2508868734,ABC,binding,ribose
2508868770,ABC,binding,heme
2508868781,ABC,binding,phosphate
2508868789,ABC,binding,nitrate
2508868818,ABC,binding,glycine betaine
2508868819,ABC,binding,phosphonate
2508868820,ABC,binding,dipeptide/D-methionine
2508868838,ABC,binding,lipoprotein
2508868884,ABC,binding,lipoprotein
2508868921,ABC,binding,phosphate
2508868972,ABC,binding,leucine/valine
2508868984,ABC,binding,mobybdenate
2508868986,ABC,binding,molybdate
2508869001,ABC,binding,daunorubicin
2508869005,ABC,binding,sulfate
2508869019,ABC,binding,xylose
2508869025,ABC,binding,phosphate
2508869033,ABC,binding,carbohydrate
2508869051,ABC,binding,glycine betaine
